filename,0_anomaly,0_cluster,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl
1047582.js,1.0,0,15.0,0.25,0.016666666666666666,-0.016666666666666666
1051807.js,1.0,0,5.0,4.75,0.95,-0.95
1054130.js,1.0,0,98.0,14.5,0.14795918367346939,-0.14795918367346939
1056759.js,1.0,0,214.0,1.75,0.008177570093457943,-0.008177570093457943
1136583.js,1.0,0,248.0,3.0,0.012096774193548387,-0.012096774193548387
1161850.js,1.0,0,359.0,3.0,0.008356545961002786,-0.008356545961002786
1167250.js,1.0,0,171.0,24.5,0.14327485380116958,-0.14327485380116958
1194291.js,1.0,0,24.0,6.75,0.28125,-0.28125
1220019.js,1.0,0,33.0,4.5,0.13636363636363635,-0.13636363636363635
1313587.js,1.0,0,30.0,4.0,0.13333333333333333,-0.13333333333333333
1416320.js,1.0,0,116.0,3.25,0.028017241379310345,-0.028017241379310345
1428713.js,1.0,0,168.0,15.0,0.08928571428571429,-0.08928571428571429
1436233.js,1.0,0,359.0,5.5,0.01532033426183844,-0.01532033426183844
1463420.js,1.0,0,359.0,15.75,0.04387186629526462,-0.04387186629526462
1486626.js,1.0,0,178.0,5.0,0.028089887640449437,-0.028089887640449437
1494273.js,1.0,0,,,,
1521771.js,1.0,0,347.0,3.0,0.008645533141210375,-0.008645533141210375
1001263.js,0.0,0,205.0,2.5,0.012195121951219513,-0.012195121951219513
1001948.js,0.0,0,115.0,1.25,0.010869565217391304,-0.010869565217391304
1007375.js,0.0,0,219.0,3.25,0.014840182648401826,-0.014840182648401826
1011083.js,0.0,0,300.0,2.25,0.0075,-0.0075
1015896.js,0.0,0,131.0,4.0,0.030534351145038167,-0.030534351145038167
1017547.js,0.0,0,27.0,2.0,0.07407407407407407,-0.07407407407407407
1018183.js,0.0,0,333.0,3.0,0.009009009009009009,-0.009009009009009009
1020314.js,0.0,0,118.0,1.5,0.012711864406779662,-0.012711864406779662
1025150.js,0.0,0,250.0,3.5,0.014,-0.014
1026615.js,0.0,0,29.0,0.5,0.017241379310344827,-0.017241379310344827
1027092.js,0.0,0,359.0,2.5,0.006963788300835654,-0.006963788300835654
1032494.js,0.0,0,281.0,1.75,0.006227758007117438,-0.006227758007117438
1034768.js,0.0,0,69.0,1.25,0.018115942028985508,-0.018115942028985508
1040048.js,0.0,0,284.0,2.75,0.009683098591549295,-0.009683098591549295
1044434.js,0.0,0,102.0,3.0,0.029411764705882353,-0.029411764705882353
1049661.js,0.0,0,11.0,1.25,0.11363636363636363,-0.11363636363636363
1055093.js,0.0,0,51.0,0.75,0.014705882352941176,-0.014705882352941176
1055262.js,0.0,0,336.0,2.5,0.00744047619047619,-0.00744047619047619
1059731.js,0.0,0,307.0,1.5,0.004885993485342019,-0.004885993485342019
1064265.js,0.0,0,15.0,2.0,0.13333333333333333,-0.13333333333333333
1085956.js,0.0,0,128.0,2.25,0.017578125,-0.017578125
1092996.js,0.0,0,343.0,2.0,0.0058309037900874635,-0.0058309037900874635
1159346.js,0.0,0,317.0,3.75,0.011829652996845425,-0.011829652996845425
1169150.js,0.0,0,195.0,1.25,0.00641025641025641,-0.00641025641025641
1169299.js,0.0,0,310.0,1.5,0.004838709677419355,-0.004838709677419355
1208807.js,0.0,0,317.0,2.5,0.007886435331230283,-0.007886435331230283
1230176.js,0.0,0,244.0,1.5,0.006147540983606557,-0.006147540983606557
1231244.js,0.0,0,9.0,1.25,0.1388888888888889,-0.1388888888888889
1238382.js,0.0,0,199.0,1.5,0.007537688442211055,-0.007537688442211055
1244284.js,0.0,0,36.0,0.25,0.006944444444444444,-0.006944444444444444
1275278.js,0.0,0,253.0,3.0,0.011857707509881422,-0.011857707509881422
1276920.js,0.0,0,214.0,1.25,0.005841121495327103,-0.005841121495327103
1283695.js,0.0,0,122.0,1.25,0.010245901639344262,-0.010245901639344262
1286123.js,0.0,0,34.0,1.5,0.04411764705882353,-0.04411764705882353
1293991.js,0.0,0,,,,
3360562.js,0.0,0,21.0,0.25,0.011904761904761904,-0.011904761904761904
3404031.js,0.0,0,92.0,1.75,0.019021739130434784,-0.019021739130434784
3443249.js,0.0,0,310.0,2.0,0.0064516129032258064,-0.0064516129032258064
3486310.js,0.0,0,330.0,2.25,0.006818181818181818,-0.006818181818181818
3503921.js,0.0,0,242.0,2.5,0.010330578512396695,-0.010330578512396695
3668036.js,0.0,0,349.0,2.5,0.0071633237822349575,-0.0071633237822349575
3677714.js,0.0,0,9.0,1.0,0.1111111111111111,-0.1111111111111111
3787913.js,0.0,0,337.0,1.5,0.004451038575667656,-0.004451038575667656
3832344.js,0.0,0,359.0,2.75,0.00766016713091922,-0.00766016713091922
1029777.js,,0,,,,
1089139.js,,0,359.0,11.0,0.03064066852367688,-0.03064066852367688
1171468.js,,0,359.0,5.0,0.013927576601671309,-0.013927576601671309
1361888.js,,0,359.0,9.75,0.027158774373259052,-0.027158774373259052
1401413.js,,0,141.0,2.25,0.015957446808510637,-0.015957446808510637
